word,definition
Define the word: osculate,to kiss
Define the word: osculatory,carved tablet kissed by priest during celebration of mass
Define the word: osmatic,having olfactory organs
Define the word: osmesis,act of smelling
Define the word: osmics,scientific study of smells
Define the word: osmidrosis,emission of ill-smelling sweat
Define the word: osmol,unit of osmotic pressure
Define the word: osmology,study of smells and olfactory processes
Define the word: osmometer,instrument for measuring osmotic pressure
Define the word: osnaburg,coarse linen or cotton
Define the word: osophy,belief or doctrine
Define the word: osphresiology,study of the sense of smell
Define the word: osphresis,sense of smell
Define the word: ossein,the organic basis of bone
Define the word: ossia,alternatively; rather (in music)
Define the word: ossicle,little bone or bone-like plate
Define the word: ossiferous,bearing bones
Define the word: ossifrage,osprey
Define the word: ossify,to change into bone; to become callous or conventional
Define the word: ossivorous,feeding on bones
Define the word: ossomancy,divination using bones
Define the word: ossuary,a depository for the bones of the dead
Define the word: osteal,of like or pertaining to or comprised of bone
Define the word: ostensory,container for holding consecrated Communion wafers
Define the word: ostent,appearance; manifestation
Define the word: osteoclasis,surgical breaking of a bone
Define the word: osteogenesis,production or formation of bone
Define the word: osteography,description of bones
Define the word: osteoid,bony; bone-like
Define the word: osteomancy,divination using bones
Define the word: osteometry,measurement of bones or skeleton
Define the word: osteophone,device used to allow deaf to hear sounds through the cranium
Define the word: osteophyte,abnormal bony outgrowth
Define the word: ostiary,doorkeeper
Define the word: ostiolate,having an opening
Define the word: ostiole,a small opening
Define the word: ostium,mouth-like opening
Define the word: ostler,person who takes care of horses at an inn and/or sells oats
Define the word: ostracean,of like or pertaining to oysters
Define the word: ostraceous,of like or pertaining to oysters
Define the word: ostreiform,shaped like an oyster
Define the word: ostreoid,oyster-like
Define the word: ostreophagous,oyster-eating
Define the word: ostrichism,habit or policy of refusing to face unpleasant facts
Define the word: otacoustic,aiding hearing
Define the word: otalgia,earache
Define the word: otarine,of like or pertaining to seals
Define the word: otic,of like or pertaining to the ear
Define the word: otiose,superfluous; redundant; futile; useless; functionless; idle
Define the word: otolith,calcium concretion in inside of vertebrate's ear to aid in equilibrium
Define the word: otology,study of the ear
Define the word: otorhinolaryngology,study of ear nose and throat
Define the word: otoscope,instrument for examining the ear
Define the word: otosis,mishearing of speech
Define the word: ottoman,heavy clothing fabric with crosswise ribs
Define the word: oud,wooden Middle Eastern lute
Define the word: ounce,medium to large-sized great cat
Define the word: oundy,wavy
Define the word: ouranomancy,divination using the heavens
Define the word: ouroboros,snake eating own tail symbolizing totality or completion
Define the word: oustiti,lock-opening tool
Define the word: outage,amount of commodity lost in transport and storage
Define the word: outcept,excluding; unless
Define the word: outcross,to breed individuals of different strains of a species
Define the word: outfling,sharp retort or gibe
Define the word: outhaul,rope used to haul a sail taut along a spar
Define the word: outjet,projection
Define the word: outmantle,to exceed in dress or ornament
Define the word: outmaster,to overcome in a contest for mastery
Define the word: outrance,the utmost extremity; the bitter end
Define the word: outré,beyond what is proper; extravagant
Define the word: outrecuidance,overwhelming arrogance or self-esteem
Define the word: outremer,area beyond the sea; overseas
Define the word: outrigger,spar extended from side of ship to help secure mast
Define the word: outroop,auction
Define the word: out-through,from end to end
Define the word: outwith,outside of
Define the word: ouzel,blackbird; a dark-haired person
Define the word: ovarious,consisting of eggs
Define the word: overcross,across; over
Define the word: overcrow,to crow or triumph over
Define the word: overflush,superfluity
Define the word: overhaile,to overtake; to overpower
Define the word: overlock,to oversew a hem or fabric edge to prevent fraying
Define the word: overlong,over the length of
Define the word: overmantel,ornamental structure set on a mantel-shelf
Define the word: overpoise,weight sufficient to weigh another down
Define the word: overrack,to overstrain
Define the word: overset,to upset; to disorder
Define the word: overslaugh,exemption from duty in turn when otherwise employed
Define the word: overthwart,from side to side of
Define the word: ovibovine,of like or pertaining to musk-oxen
Define the word: ovicide,killing insect eggs
Define the word: ovicide,sheep-killing
Define the word: oviferous,egg-carrying
Define the word: oviform,like a sheep
Define the word: oviform,shaped like an oval or egg
Define the word: ovigerous,bearing eggs
Define the word: ovil,sheep-fold
Define the word: ovine,of like or pertaining to sheep
Define the word: oviparous,producing offspring through laying eggs
Define the word: ovivorous,eating eggs
Define the word: ovivorous,eating sheep
Define the word: ovopyriform,having a shape between a pear and an egg
Define the word: ovoviviparous,producing eggs which are hatched in parent's body
Define the word: ovuliferous,bearing ovules
Define the word: owlery,place frequented by owls
Define the word: owling,smuggling wool or sheep
Define the word: oxford,soft durable plain-woven cotton
Define the word: oxter,to take under the arm; to support by taking the arm
Define the word: oxyacaesthesia,extreme sharpness of senses
Define the word: oxyacanthous,having sharp thorns
